,Station Name,Latitude,Longitude
0,PALO ALTO CA / HAMILTON #1,37.444572,-122.160309
10,PALO ALTO CA / HAMILTON #2,37.444607,-122.160263
155,PALO ALTO CA / HIGH #4,37.443676,-122.16288
390,PALO ALTO CA / BRYANT #2,37.446373,-122.162331
414,PALO ALTO CA / BRYANT #1,37.446373,-122.162331
1195,PALO ALTO CA / BRYANT #2,37.44651,-122.16214
1202,PALO ALTO CA / BRYANT #1,37.446613,-122.162308
2389,PALO ALTO CA / HAMILTON #1,37.444489,-122.16037
26085,PALO ALTO CA / MPL #4,37.422104,-122.11351
26087,PALO ALTO CA / MPL #6,37.422138,-122.113457
26088,PALO ALTO CA / MPL #2,37.422169,-122.11248
26219,PALO ALTO CA / MPL #1,37.422146,-122.112511
26243,PALO ALTO CA / MPL #5,37.422123,-122.113487
26508,PALO ALTO CA / MPL #3,37.422119,-122.112556
29733,PALO ALTO CA / RINCONADA LIB 2,37.445492,-122.138931
29735,PALO ALTO CA / RINCONADA LIB 1,37.445499,-122.138847
29756,PALO ALTO CA / RINCONADA LIB 3,37.445492,-122.139
40602,PALO ALTO CA / RINCONADA LIB 2,37.445499,-122.138893
40618,PALO ALTO CA / RINCONADA LIB 1,37.445496,-122.138863
40625,PALO ALTO CA / RINCONADA LIB 3,37.445496,-122.138924
40632,PALO ALTO CA / WEBSTER #1,37.449348,-122.157768
40638,PALO ALTO CA / HIGH #1,37.443558,-122.162849
40645,PALO ALTO CA / WEBSTER #2,37.449375,-122.157799
42214,PALO ALTO CA / WEBSTER #1,37.448284,-122.158272
42220,PALO ALTO CA / WEBSTER #2,37.448238,-122.158203
53800,PALO ALTO CA / HAMILTON #2,37.444359,-122.159904
53948,PALO ALTO CA / TED THOMPSON #1,37.428318,-122.144188
53953,PALO ALTO CA / CAMBRIDGE #1,37.427349,-122.145676
53956,PALO ALTO CA / BRYANT #3,37.446583,-122.162109
53969,PALO ALTO CA / WEBSTER #3,37.449348,-122.157768
53973,PALO ALTO CA / CAMBRIDGE #2,37.42733,-122.145699
67398,PALO ALTO CA / CAMBRIDGE #1,37.426155,-122.146065
67453,PALO ALTO CA / CAMBRIDGE #2,37.426182,-122.146065
100452,PALO ALTO CA / HIGH #2,37.443146,-122.163017
100486,PALO ALTO CA / HIGH #3,37.443127,-122.163033
118395,PALO ALTO CA / HIGH #4,37.443378,-122.163048
124660,PALO ALTO CA / WEBSTER #3,37.448284,-122.158218
128088,PALO ALTO CA / BRYANT #6,37.446667,-122.16217
128091,PALO ALTO CA / BRYANT #4,37.446785,-122.162369
128095,PALO ALTO CA / BRYANT #5,37.44669,-122.162231
131638,PALO ALTO CA / WEBSTER #3,37.448273,-122.158234
134946,PALO ALTO CA / HAMILTON #2,37.444706,-122.160324
148036,PALO ALTO CA / HIGH #2,37.443344,-122.163231
148038,PALO ALTO CA / HIGH #3,37.443443,-122.163139
148041,PALO ALTO CA / HIGH #4,37.443138,-122.163239
148048,PALO ALTO CA / HIGH #1,37.443211,-122.163078
157545,PALO ALTO CA / TED THOMPSON #4,37.4286,-122.14399
157583,PALO ALTO CA / TED THOMPSON #3,37.428623,-122.144043
157656,PALO ALTO CA / CAMBRIDGE #5,37.426228,-122.145981
157768,PALO ALTO CA / TED THOMPSON #2,37.42857,-122.143929
157795,PALO ALTO CA / CAMBRIDGE #3,37.426208,-122.146011
157829,PALO ALTO CA / CAMBRIDGE #4,37.426178,-122.146034
197280,PALO ALTO CA / MPL #6,37.422131,-122.113441
219682,PALO ALTO CA / MPL #5,37.422112,-122.11348
252013,PALO ALTO CA / BRYANT #1,37.446651,-122.161919
252150,PALO ALTO CA / BRYANT #2,37.446613,-122.162308
254692,PALO ALTO CA / BRYANT # 1,37.446651,-122.161919
258738,PALO ALTO CA / SHERMAN 6,37.426582,-122.143425
258796,PALO ALTO CA / SHERMAN 7,37.426655,-122.143417
258860,PALO ALTO CA / SHERMAN 9,37.42667,-122.143257
258865,PALO ALTO CA / SHERMAN 8,37.426617,-122.143456
258896,PALO ALTO CA / SHERMAN 4,37.426563,-122.143379
258952,PALO ALTO CA / SHERMAN 1,37.426598,-122.143288
259004,PALO ALTO CA / SHERMAN 3,37.42662,-122.143326
259029,PALO ALTO CA / SHERMAN 14,37.426777,-122.143311
259199,PALO ALTO CA / SHERMAN 2,37.426537,-122.143341
259240,PALO ALTO CA / SHERMAN 5,37.426643,-122.143372
259255,PALO ALTO CA / SHERMAN 15,37.426773,-122.143402
259334,PALO ALTO CA / SHERMAN 11,37.42672,-122.143326
259335,PALO ALTO CA / SHERMAN 17,37.426823,-122.143394
