,name,lat,long
0,PALO ALTO CA / HAMILTON #1,37.444572,-122.160309
1,PALO ALTO CA / HAMILTON #2,37.444607,-122.160263
2,PALO ALTO CA / HIGH #4,37.443676,-122.16288
3,PALO ALTO CA / BRYANT #2,37.446373,-122.162331
4,PALO ALTO CA / BRYANT #1,37.446373,-122.162331
5,PALO ALTO CA / MPL #4,37.422104,-122.11351
6,PALO ALTO CA / MPL #6,37.422138,-122.113457
7,PALO ALTO CA / MPL #2,37.422169,-122.11248
8,PALO ALTO CA / MPL #1,37.422146,-122.112511
9,PALO ALTO CA / MPL #5,37.422123,-122.113487
10,PALO ALTO CA / MPL #3,37.422119,-122.112556
11,PALO ALTO CA / RINCONADA LIB 2,37.445492,-122.138931
12,PALO ALTO CA / RINCONADA LIB 1,37.445499,-122.138847
13,PALO ALTO CA / RINCONADA LIB 3,37.445492,-122.139
14,PALO ALTO CA / WEBSTER #1,37.449348,-122.157768
15,PALO ALTO CA / HIGH #1,37.443558,-122.162849
16,PALO ALTO CA / WEBSTER #2,37.449375,-122.157799
17,PALO ALTO CA / TED THOMPSON #1,37.428318,-122.144188
18,PALO ALTO CA / CAMBRIDGE #1,37.427349,-122.145676
19,PALO ALTO CA / BRYANT #3,37.446583,-122.162109
20,PALO ALTO CA / WEBSTER #3,37.449348,-122.157768
21,PALO ALTO CA / CAMBRIDGE #2,37.42733,-122.145699
22,PALO ALTO CA / HIGH #2,37.443146,-122.163017
23,PALO ALTO CA / HIGH #3,37.443127,-122.163033
24,PALO ALTO CA / BRYANT #6,37.446667,-122.16217
25,PALO ALTO CA / BRYANT #4,37.446785,-122.162369
26,PALO ALTO CA / BRYANT #5,37.44669,-122.162231
27,PALO ALTO CA / TED THOMPSON #4,37.4286,-122.14399
28,PALO ALTO CA / TED THOMPSON #3,37.428623,-122.144043
29,PALO ALTO CA / CAMBRIDGE #5,37.426228,-122.145981
30,PALO ALTO CA / TED THOMPSON #2,37.42857,-122.143929
31,PALO ALTO CA / CAMBRIDGE #3,37.426208,-122.146011
32,PALO ALTO CA / CAMBRIDGE #4,37.426178,-122.146034
33,PALO ALTO CA / BRYANT # 1,37.446651,-122.161919
34,PALO ALTO CA / SHERMAN 6,37.426582,-122.143425
35,PALO ALTO CA / SHERMAN 7,37.426655,-122.143417
36,PALO ALTO CA / SHERMAN 9,37.42667,-122.143257
37,PALO ALTO CA / SHERMAN 8,37.426617,-122.143456
38,PALO ALTO CA / SHERMAN 4,37.426563,-122.143379
39,PALO ALTO CA / SHERMAN 1,37.426598,-122.143288
40,PALO ALTO CA / SHERMAN 3,37.42662,-122.143326
41,PALO ALTO CA / SHERMAN 14,37.426777,-122.143311
42,PALO ALTO CA / SHERMAN 2,37.426537,-122.143341
43,PALO ALTO CA / SHERMAN 5,37.426643,-122.143372
44,PALO ALTO CA / SHERMAN 15,37.426773,-122.143402
45,PALO ALTO CA / SHERMAN 11,37.42672,-122.143326
46,PALO ALTO CA / SHERMAN 17,37.426823,-122.143394
